ID,Aggressive,words,sents,numbers,unknowns,punctuation
C101.565,NAG,7,1,0,8,0
C101.747,NAG,7,1,0,0,0
C95.73,CAG,29,1,0,0,1
C95.82,CAG,8,1,0,0,0
C12.148,CAG,84,1,1,0,0
C101.674,CAG,11,1,0,0,1
C95.135,CAG,11,3,0,0,2
C101.401,CAG,26,1,0,0,2
C101.100,OAG,3,1,0,0,0
C12.77,NAG,10,1,0,0,0
C115.29,CAG,6,2,0,0,1
C95.422,CAG,24,2,0,0,4
C101.548,CAG,10,3,0,0,2
C115.186,CAG,5,1,0,0,0
C101.808,NAG,6,1,0,0,0
C101.960.2,CAG,39,3,0,1,6
C101.499,NAG,5,1,0,0,0
C10.185,NAG,77,1,0,0,9
C95.434.2,NAG,32,4,0,0,3
C10.181,NAG,5,2,0,0,2
C95.236,CAG,29,2,2,0,1
C108.91,CAG,3,1,0,0,0
C101.338,NAG,15,1,1,4,3
C108.124,NAG,5,1,0,0,0
C95.175,NAG,3,1,0,0,0
C106.32,CAG,1,1,1,0,0
C101.920.5,NAG,6,1,0,0,0
C95.380,NAG,8,1,0,0,0
C95.152,NAG,12,1,0,0,0
C12.154.2,NAG,2,1,0,0,0
C115.120,NAG,1,1,0,0,1
C95.113,CAG,8,1,0,0,0
C95.98,NAG,36,1,0,2,2
C101.844,NAG,4,1,0,0,5
C95.330,CAG,15,5,0,0,4
C101.317,CAG,8,1,0,0,1
C10.178,NAG,24,3,0,0,2
C115.163,CAG,18,1,0,0,0
C108.47,NAG,6,1,0,2,0
C101.153,CAG,6,1,0,0,0
C115.26,NAG,6,1,0,0,0
C12.93.1,CAG,15,1,0,1,0
C105.32,OAG,18,1,0,0,0
C95.237.1,NAG,1,1,0,0,0
C12.80,CAG,12,1,1,0,0
C100.5,CAG,12,1,0,0,0
C101.923.4,NAG,15,2,0,0,1
C101.874.1,CAG,18,3,0,0,3
C101.681,NAG,7,1,0,0,0
C101.923.1,NAG,18,1,0,0,0
C95.364,NAG,7,1,0,1,0
C100.46,CAG,91,3,0,0,3
C130.46,NAG,15,2,0,0,3
C115.207,NAG,3,1,0,0,0
C10.33,NAG,8,1,0,0,0
C12.151,NAG,1,1,0,0,1
C10.133.4,CAG,37,2,0,0,1
C101.365,OAG,8,1,0,0,0
C101.841,OAG,11,1,0,0,0
C12.68,OAG,68,1,1,0,0
C100.35,CAG,14,1,0,0,1
C101.224,OAG,12,1,0,0,0
C108.81.2,CAG,8,1,0,0,0
C95.399.2,CAG,27,6,0,0,8
C95.458.2,CAG,19,1,0,0,0
C108.138,CAG,5,1,0,0,0
C106.15,NAG,4,1,0,4,0
C101.875,OAG,3,1,0,0,0
C101.540,CAG,3,1,0,0,1
C95.338,CAG,10,1,0,0,1
C101.458,NAG,9,2,0,0,2
C101.325,CAG,7,1,0,5,0
C12.133.3,NAG,23,4,0,0,4
C10.158.2,CAG,3,1,0,0,0
C101.349,NAG,13,1,0,3,0
C95.310,NAG,29,3,0,0,3
C12.102.3,CAG,52,2,1,0,1
C100.38,NAG,3,1,0,0,0
C115.109,NAG,10,1,0,0,0
C101.34,OAG,7,1,0,0,0
C95.41,NAG,5,1,0,0,0
C130.1,OAG,99,3,0,3,3
C95.347.1,CAG,14,1,1,0,0
C130.47,OAG,9,1,0,0,0
C101.412,NAG,4,1,0,0,0
C130.102,OAG,102,1,0,0,0
C95.58,CAG,44,5,0,0,15
C101.931,CAG,18,1,1,0,1
C108.22,CAG,8,1,0,0,0
C33.26,OAG,4,1,0,0,0
C130.3,OAG,112,11,4,0,16
C101.85,NAG,9,1,0,0,0
C12.105,NAG,1,1,0,0,0
C95.256,NAG,5,3,0,0,2
C101.433,NAG,3,1,0,0,0
C12.101,NAG,13,1,0,0,0
C101.802,NAG,4,1,0,2,5
C101.398,NAG,43,1,0,0,3
C101.691,CAG,18,1,1,0,0
C95.323,NAG,18,1,0,0,2
C101.878,NAG,6,6,0,0,5
C101.861.1,CAG,3,1,0,0,0
C101.351,OAG,29,2,0,0,3
C101.896.4,NAG,7,1,0,0,0
C10.107.1,NAG,1,1,0,6,0
C108.13,CAG,7,1,0,0,3
C10.29,OAG,17,1,0,0,0
C12.133,NAG,21,2,0,0,1
C101.904.3,CAG,12,1,0,0,0
C100.2,NAG,4,1,0,4,0
C115.158,NAG,7,1,0,0,0
C12.90,OAG,27,1,0,0,0
C101.960.5,CAG,48,5,3,0,4
C101.697,CAG,15,1,0,0,1
C95.391,NAG,35,3,0,0,2
C130.82,CAG,34,2,1,0,2
C33.39,OAG,10,1,1,0,0
C108.58,NAG,1,1,1,0,0
C95.169,NAG,0,1,2,0,5
C12.154,CAG,19,1,0,0,0
C101.388,OAG,55,1,4,0,1
C101.545,CAG,37,1,1,0,0
C33.18,NAG,7,1,0,0,0
C101.817,NAG,10,1,0,2,2
C10.112,NAG,6,2,0,3,2
C101.712,NAG,7,1,0,0,0
C100.10,NAG,2,1,0,0,0
C115.166,NAG,5,1,0,2,0
C101.638,NAG,11,1,0,0,2
C101.709,CAG,6,1,0,0,1
C10.82,NAG,12,1,0,0,0
C101.856,OAG,32,3,1,0,3
C115.181,CAG,13,1,0,0,0
C10.140,NAG,8,1,0,0,0
C101.573,CAG,8,1,0,0,0
C101.393,NAG,8,1,0,0,0
C101.617.4,CAG,7,1,0,0,0
C95.70,CAG,12,1,0,0,0
C130.129,CAG,10,1,0,0,1
C12.103.1,CAG,32,1,0,0,0
C95.389,CAG,9,1,0,0,0
C101.37,OAG,13,2,0,0,2
C95.78,CAG,26,1,0,0,3
C101.327,NAG,4,1,0,0,0
C101.180,OAG,4,1,0,0,1
C10.51.1,NAG,8,1,1,8,0
C105.32.1,OAG,18,1,0,0,3
C95.190,CAG,35,3,3,1,2
C108.50.1,CAG,32,1,0,0,1
C101.282,CAG,7,1,0,0,0
C101.187,OAG,45,4,0,0,4
C101.653,OAG,21,2,0,0,2
C101.48,OAG,9,1,0,3,2
C101.246,NAG,14,1,0,0,1
C12.100,CAG,5,1,0,0,0
C105.28,OAG,28,2,0,0,5
C33.35.1,OAG,37,10,2,0,9
C108.96.1,NAG,4,1,0,1,0
C115.142.1,NAG,1,1,0,0,0
C101.408,NAG,86,1,0,0,0
C95.451.1,CAG,16,2,0,1,3
C101.566,NAG,7,1,0,0,2
C12.84,NAG,12,1,0,0,0
C33.5,OAG,11,1,0,0,0
C101.848,CAG,13,1,0,0,4
C101.531,NAG,42,3,1,0,4
C115.22,NAG,10,1,0,0,1
C101.316,OAG,57,8,1,0,11
C106.28,CAG,15,1,0,0,0
C101.487,OAG,13,1,0,0,1
C101.575.1,NAG,0,1,1,0,0
C10.118,NAG,16,1,0,0,0
C12.7,CAG,17,1,0,0,0
C95.434.5,NAG,67,6,0,0,10
C95.468,NAG,3,1,0,0,1
C95.415.1,NAG,2,1,1,0,0
C10.179,CAG,39,3,0,0,3
C115.190.1,CAG,19,1,0,0,5
C115.214,NAG,16,4,0,0,5
C101.895.2,CAG,37,2,0,0,2
C95.442,NAG,4,2,0,0,2
C108.120.1,CAG,11,1,1,0,0
C115.86.1,NAG,1,1,0,0,0
C10.28.4,OAG,80,1,1,21,0
C95.401.3,NAG,2,1,1,0,0
C101.892,CAG,13,1,0,0,0
C115.60,CAG,10,1,0,0,0
C101.703,CAG,7,1,0,0,0
C106.16,OAG,32,1,0,0,0
C101.601,NAG,12,1,0,0,2
C108.120,CAG,37,1,0,3,0
C95.460.1,NAG,4,1,0,0,0
C105.24,CAG,27,2,0,0,2
C101.338.1,NAG,0,1,0,4,0
C101.847,NAG,2,1,0,0,0
C95.324,NAG,2,1,0,4,0
C95.435,CAG,11,2,0,0,1
C10.135,NAG,33,2,0,4,2
C101.714,CAG,4,1,1,0,0
C101.312,CAG,13,2,0,0,3
C12.141.2,NAG,4,1,0,0,0
C101.755.1,CAG,14,1,0,0,0
C95.342,OAG,21,8,0,0,8
C130.146,CAG,22,1,2,0,1
C101.232,CAG,26,1,1,0,0
C95.296,NAG,4,1,0,0,1
C95.122,NAG,11,1,0,0,0
C101.953,CAG,24,1,0,0,0
C101.578,NAG,50,1,0,0,1
C101.797,NAG,43,6,0,0,7
C101.295,CAG,7,1,0,0,0
C100.28,CAG,33,1,0,0,0
C106.38.1,NAG,1,1,0,5,0
C101.789.1,NAG,3,1,1,0,0
C101.336,CAG,3,1,0,0,0
C105.32.5,CAG,25,1,0,1,4
C100.42.1,CAG,9,1,0,0,0
C33.50.1,OAG,4,1,0,0,0
C101.844.1,CAG,2,1,0,0,0
C101.606,CAG,21,1,0,0,6
C95.95,CAG,13,1,0,0,2
C95.128,CAG,24,1,1,0,0
C115.70,CAG,21,1,0,0,0
C10.114,NAG,14,1,0,0,0
C101.934,CAG,12,1,0,0,1
C108.86,OAG,17,1,0,0,1
C95.80,CAG,11,1,0,0,0
C12.8,CAG,8,3,0,0,2
C130.63,CAG,14,1,0,0,0
C95.297,CAG,11,1,0,0,0
C101.728,CAG,6,1,0,0,0
C95.409.1,CAG,51,1,0,0,0
C101.669,CAG,3,1,0,0,0
C101.69,CAG,15,1,0,0,0
C95.214,NAG,72,4,0,0,3
C101.678.1,NAG,1,1,0,0,0
C101.436,NAG,3,1,0,0,0
C101.285,NAG,4,1,0,0,0
C106.6,NAG,4,2,0,0,2
C108.83,CAG,13,1,0,0,0
C115.124.1,CAG,33,2,0,0,2
C101.5,CAG,19,1,0,0,0
C101.444.1,NAG,6,1,1,0,1
C105.8,CAG,3,1,0,0,0
C101.77,NAG,33,2,0,3,1
C95.218,NAG,195,13,0,0,25
C95.140,OAG,8,1,0,0,0
C10.145,NAG,19,1,0,0,0
C130.83,OAG,12,1,0,0,1
C101.776,NAG,5,1,0,0,0
C101.26,CAG,18,2,0,0,1
C101.956,NAG,2,1,1,0,0
C101.320,CAG,3,1,0,0,0
C108.125,NAG,3,1,0,0,0
C101.99,NAG,7,2,0,0,2
C101.930,NAG,5,1,0,0,0
C95.202,NAG,17,3,0,0,5
C95.120,NAG,10,1,0,0,0
C95.118.1,CAG,20,1,0,0,2
C95.431.1,NAG,1,1,0,0,0
C95.413.1,NAG,5,1,0,3,0
C95.334.2,NAG,2,1,0,4,0
C101.664.1,NAG,2,1,0,0,0
C101.491,CAG,8,1,1,0,0
C95.242.1,CAG,4,1,0,0,0
C12.121.2,CAG,8,1,1,0,1
C101.787,CAG,28,9,0,0,8
C101.711,NAG,2,1,0,52,0
C130.184,CAG,10,1,0,0,0
C10.28.5,OAG,18,1,0,0,0
C130.14,CAG,14,2,0,0,4
C10.24.1,CAG,9,1,0,0,0
C130.178,NAG,3,1,0,0,0
C101.597,CAG,7,1,0,0,0
C95.252,NAG,21,4,0,1,3
C115.222,NAG,6,1,0,0,0
C108.119,NAG,4,1,0,0,0
C95.315,OAG,6,1,0,0,0
C95.347.2,CAG,141,26,6,3,41
C10.89,NAG,11,1,0,0,0
C100.18,OAG,42,1,0,0,8
C101.781,CAG,24,5,0,0,6
C101.913.3,NAG,3,1,0,0,0
C10.110.1,NAG,3,1,0,0,0
C101.333,CAG,21,1,0,0,0
C115.178.2,CAG,37,2,1,0,0
C108.62,NAG,4,1,0,0,0
C101.896,CAG,32,4,0,0,3
C95.394.5,NAG,9,1,0,3,0
C10.27,CAG,13,2,0,0,1
C101.364,CAG,2,1,0,0,0
C101.826,NAG,8,1,0,0,1
C101.157,CAG,26,3,0,0,3
C95.174,NAG,47,1,0,3,0
C10.144,CAG,2,1,0,0,0
C105.22,CAG,9,1,0,0,0
C108.85.2,CAG,28,1,0,0,0
C10.1.1,OAG,23,1,0,0,0
C10.132.1,CAG,9,1,0,0,0
C10.150,NAG,27,1,0,0,0
C101.450,CAG,9,1,0,0,0
C10.116.1,CAG,44,1,0,0,0
C101.428,CAG,35,9,0,0,9
C130.108,CAG,34,1,0,0,1
C108.49,NAG,6,1,0,0,0
C95.269,NAG,9,1,0,0,0
C95.386,NAG,7,1,0,0,0
C101.86,NAG,11,1,0,0,2
C130.12,OAG,10,1,0,0,0
C115.122,NAG,19,1,0,0,0
C101.498,CAG,18,1,0,0,0
C101.507,NAG,11,1,0,0,0
C100.40,OAG,15,1,0,0,0
C101.860,NAG,23,2,0,0,2
C105.39,OAG,2,1,0,0,0
C101.287,CAG,22,3,0,0,2
C130.40,CAG,23,1,1,0,0
C101.913,NAG,13,1,0,0,1
C101.717.1,NAG,3,1,1,0,0
C95.359.3,CAG,4,2,0,0,2
C10.161,NAG,14,1,0,11,1
C95.399.1,NAG,12,1,1,0,0
C115.202,NAG,10,1,0,0,0
C101.824.3,NAG,1,1,0,0,0
C115.213.1,OAG,2,1,0,0,1
C95.61,CAG,27,3,0,0,3
C101.858,CAG,12,1,0,0,0
C95.6,OAG,32,1,0,0,2
C101.459,NAG,13,1,0,0,0
C101.104,NAG,7,1,0,0,0
C130.11,CAG,2,1,0,0,0
C108.14,NAG,9,1,0,0,0
C101.779,CAG,10,1,0,0,0
C101.502,NAG,3,1,0,0,0
C101.256,NAG,8,1,0,0,0
C130.15,CAG,35,2,0,0,1
C101.760,CAG,11,1,0,0,0
C115.171,NAG,2,1,0,4,0
C101.867,CAG,14,2,0,0,3
C101.504,CAG,10,1,0,0,0
C101.888,CAG,1,1,0,4,0
C101.735,CAG,11,1,0,1,0
C95.226,NAG,19,1,0,0,0
C10.119,CAG,13,1,0,0,1
C12.58,CAG,22,1,0,0,0
C115.96.1,CAG,5,1,0,0,0
C101.121,NAG,5,1,0,0,1
C101.120,CAG,45,1,0,0,0
C101.249,NAG,5,1,0,7,0
C105.32.3,OAG,17,2,0,0,5
C130.165,CAG,45,2,3,0,6
C108.40,CAG,9,1,0,0,0
C101.477,NAG,4,1,0,0,0
C12.95,NAG,10,1,0,0,1
C115.221,NAG,6,1,0,0,1
C101.303,NAG,26,1,0,3,0
C101.25,OAG,13,1,0,0,0
C95.398.4,OAG,5,2,0,0,1
C101.374,CAG,4,1,0,8,0
C101.933,NAG,14,2,0,0,3
C95.54,NAG,12,1,0,0,1
C10.119.3,NAG,7,1,0,0,0
C101.899.1,NAG,2,1,0,0,0
C130.158,CAG,5,2,0,1,2
C101.310,NAG,7,1,0,0,0
C101.32,OAG,3,1,0,0,0
C33.21,CAG,70,1,2,0,1
C101.544,NAG,31,1,0,0,1
C10.177,CAG,7,2,0,0,2
C10.70,NAG,9,1,0,2,0
C10.63,NAG,10,1,0,0,0
C101.627,CAG,8,1,0,0,0
C95.465,NAG,6,1,0,0,0
C10.180,NAG,3,2,0,0,2
C130.149,OAG,6,1,0,0,0
C101.951,NAG,3,1,0,0,0
C101.363,NAG,9,1,0,0,0
C10.116.3,NAG,15,1,0,0,1
C12.75,CAG,6,1,0,0,0
C10.133.2,NAG,5,1,0,0,0
C12.137,OAG,36,1,0,0,0
C130.89,NAG,2,1,0,0,0
C10.91,NAG,4,1,0,0,0
C95.196,CAG,26,2,0,0,1
C95.397.1,CAG,50,2,0,0,2
C10.186,CAG,13,1,0,0,0
C115.52,NAG,13,1,1,27,0
C12.112,NAG,14,1,0,0,1
C95.83,NAG,26,1,0,0,3
C10.175.1,NAG,58,2,0,0,3
C95.206,CAG,11,2,0,0,1
C101.689,NAG,5,1,0,3,0
C130.127,CAG,8,1,0,0,0
C101.404,CAG,13,1,1,0,0
C101.941,NAG,20,1,1,0,1
C95.146,OAG,4,1,0,0,0
C101.655,NAG,4,2,0,0,1
C115.146,CAG,16,1,1,0,4
C95.416.1,NAG,12,1,0,0,1
C95.439,CAG,10,1,0,0,0
C95.322.2,NAG,14,2,0,0,1
C130.181,OAG,22,1,1,0,0
C115.43,OAG,36,3,0,0,4
C101.932,NAG,6,1,0,3,0
C101.853,CAG,3,1,0,0,0
C95.383.1,NAG,1,1,0,0,1
C101.955,CAG,23,3,0,0,2
C130.179.1,CAG,35,3,0,0,3
C100.32,NAG,48,4,1,0,4
C130.175.1,NAG,2,1,0,0,0
C115.96.2,CAG,11,1,0,0,0
C115.184.1,NAG,26,1,0,0,0
C108.51,NAG,10,1,0,0,0
C12.43,NAG,8,1,0,0,0
C10.51,NAG,17,1,0,0,1
C101.280,NAG,20,1,0,3,0
C105.18,CAG,5,1,0,0,1
C115.187,NAG,8,1,0,0,0
C12.111,CAG,57,3,0,0,5
C95.280.4,NAG,7,1,0,0,2
C101.824.2,NAG,3,1,0,0,0
C12.144,CAG,22,1,0,0,0
C95.47,NAG,5,1,0,0,1
C101.594,NAG,16,1,0,0,0
C101.377,CAG,17,1,0,0,1
C101.431,CAG,15,1,1,0,0
C95.351,NAG,16,1,0,0,0
C105.25.2,OAG,5,1,0,0,0
C130.67,CAG,12,1,0,0,0
C101.940.5,CAG,12,1,0,0,1
C105.19.3,NAG,15,2,0,4,2
C101.541,NAG,8,1,0,0,0
C101.406,CAG,16,1,0,0,1
C95.305.1,NAG,11,1,0,0,0
C115.214.2,NAG,32,1,0,0,2
C101.904,OAG,11,1,0,1,0
C115.114,CAG,52,13,0,0,14
C95.441,NAG,4,2,0,1,1
C115.201,NAG,25,1,2,0,6
C95.275,OAG,5,1,0,0,0
C101.424,CAG,20,1,0,0,0
C105.19,CAG,5,1,0,0,0
C101.212,NAG,3,1,0,0,0
C10.156.1,CAG,20,1,0,0,6
C10.173.2,NAG,9,1,0,0,0
C101.945,CAG,9,1,0,0,0
C101.478,CAG,9,1,0,0,0
C95.217,NAG,26,1,0,0,0
C95.394.4,OAG,13,1,0,0,0
C101.220,NAG,6,1,0,0,1
C10.174,NAG,2,1,0,0,0
C101.662,CAG,13,1,0,0,0
C95.84,CAG,14,1,0,0,1
C95.262,CAG,9,2,0,0,2
C115.1,CAG,17,1,0,0,1
C115.75,CAG,12,2,0,0,2
C101.81,NAG,9,1,0,0,0
C101.260,NAG,24,1,0,0,0
C95.350,NAG,4,1,0,0,1
C115.204,CAG,17,2,0,0,1
C130.71,NAG,3,1,0,0,0
C101.20,CAG,6,1,0,0,0
C101.181,OAG,40,3,0,0,6
C101.448,NAG,5,1,0,0,0
C95.12,OAG,38,5,0,0,6
C101.526,CAG,37,1,0,0,6
C95.18,NAG,154,10,0,0,34
C101.586,CAG,34,2,0,0,2
C95.451.2,OAG,30,4,0,0,7
C12.116,CAG,6,1,0,0,0
C101.726,CAG,19,2,0,0,2
C101.773,CAG,46,1,0,0,2
C115.190,CAG,61,1,0,0,8
C108.42.1,CAG,19,1,0,0,0
C101.913.2,NAG,1,1,0,0,0
C108.39,CAG,11,1,1,0,0
C10.123,NAG,3,1,0,0,1
C12.26,CAG,21,1,0,0,0
C130.192.1,OAG,19,1,0,0,0
C95.438,CAG,8,1,0,0,0
C10.5.1,NAG,10,1,0,0,0
C115.67,CAG,9,1,0,0,0
C115.208.1,NAG,4,1,0,0,1
C101.35,OAG,11,3,0,0,2
C12.86,CAG,24,1,1,0,0
C101.509,CAG,34,2,1,0,9
C95.331,CAG,23,2,0,8,1
C115.24,NAG,12,1,0,0,0
C101.369,NAG,8,1,0,0,0
C115.157,CAG,11,1,1,0,4
C95.241,CAG,21,2,1,0,2
C115.184,NAG,7,1,0,0,0
C10.24.2,CAG,7,1,0,0,0
C95.370,OAG,2,1,0,0,0
C101.743.1,NAG,3,1,1,0,0
C95.354,CAG,30,1,0,0,6
C101.784.2,NAG,3,1,1,0,0
C95.238,NAG,31,2,0,3,6
C95.91,NAG,18,1,0,0,0
C101.290,CAG,13,1,0,4,0
C101.897,CAG,10,1,0,0,0
C101.851,CAG,3,1,0,0,0
C130.107.1,NAG,5,1,0,0,0
C101.74,CAG,7,1,0,0,0
C130.42,CAG,19,1,0,0,0
C101.803,CAG,41,4,0,0,9
C100.33.1,CAG,5,1,0,0,0
C106.3,OAG,62,2,0,0,6
C10.44,CAG,5,1,0,0,0
C105.4,CAG,38,5,0,0,7
C101.706,CAG,13,1,0,0,2
C95.462,NAG,26,3,0,0,4
C130.173,CAG,30,5,0,0,5
C95.434.4,NAG,124,2,0,0,3
C95.92.1,CAG,8,1,0,0,0
C12.70,OAG,39,1,0,0,0
C10.130.4,NAG,44,16,1,1,16
C100.25,NAG,1,1,0,0,0
C101.14,OAG,7,1,0,0,0
C115.34,CAG,14,1,0,0,0
C95.431.2,NAG,3,1,0,0,0
C101.607,NAG,20,1,0,0,0
C100.43,NAG,1,1,0,2,0
C95.116,NAG,12,1,0,0,0
C12.154.4,NAG,4,1,0,1,0
C101.222,CAG,7,1,0,0,2
C101.335,NAG,3,1,0,0,0
C100.20,OAG,12,2,0,0,1
C95.33,CAG,41,2,2,0,8
C101.533,NAG,18,1,0,0,2
C101.750,NAG,12,1,0,0,1
C10.64.1,NAG,3,1,0,0,0
C101.825.1,NAG,1,1,0,0,0
C101.193,NAG,8,1,0,0,0
C12.62,CAG,2,1,0,0,0
C115.137,CAG,27,7,0,0,6
C130.157,NAG,13,4,0,3,9
C115.84,OAG,104,2,0,0,19
C101.110,NAG,19,1,3,0,0
C95.71,NAG,14,1,0,2,1
C101.757,NAG,4,1,0,0,0
C115.172,CAG,13,1,1,0,1
C101.423,CAG,10,1,0,0,1
C101.263,CAG,25,1,0,0,0
C12.88,OAG,6,1,0,0,0
C95.361,CAG,8,2,0,0,1
C95.227,NAG,4,1,0,0,0
C130.168,OAG,42,1,0,0,19
C95.53,CAG,10,1,0,0,1
C130.150,NAG,2,1,0,0,0
C101.537,CAG,7,1,0,0,0
C101.872,OAG,44,3,0,0,7
C12.19,CAG,1,1,0,0,0
C108.83.1,CAG,14,2,0,0,2
C101.420,CAG,77,4,0,0,6
C10.19,NAG,2,1,0,0,0
C101.941.5,NAG,4,1,0,0,0
C33.1.1,NAG,2,1,0,0,0
C105.13,NAG,6,1,0,0,1
C95.229,NAG,8,1,0,0,0
C101.617.1,NAG,23,1,0,0,0
C101.895.3,CAG,19,1,0,0,1
C101.821,NAG,24,1,0,0,2
C10.5,OAG,44,1,1,9,0
C95.8,OAG,26,1,0,0,1
C115.211,NAG,9,2,0,0,2
C12.141,CAG,4,1,0,0,0
C101.11,CAG,16,1,0,0,1
C101.144,NAG,9,1,0,0,0
C108.69,OAG,21,1,0,5,0
C101.929,CAG,31,1,2,0,1
C101.277,CAG,20,1,0,0,0
C101.534,OAG,37,2,0,0,1
C95.204,CAG,22,1,0,0,4
C101.901,NAG,5,1,0,0,0
C95.434.1,NAG,22,1,0,0,0
C101.22,OAG,6,1,0,0,0
C101.891,NAG,25,3,0,0,2
C101.53,OAG,2,1,0,0,0
C95.326.1,CAG,16,1,0,0,1
C95.220.1,NAG,25,1,0,0,1
C12.98,CAG,24,1,0,0,0
C101.720,NAG,21,4,0,0,4
C101.330,NAG,5,1,0,0,0
C108.121,CAG,5,2,0,1,2
C101.686,CAG,12,1,0,0,0
C105.7,OAG,9,1,0,0,0
C101.123,CAG,0,1,0,13,0
C101.221,CAG,3,1,0,0,0
C101.719.3,NAG,1,1,0,0,0
C101.626,CAG,3,1,0,0,0
C101.89,CAG,18,1,0,0,0
C101.484,CAG,7,1,0,0,1
C130.160,CAG,8,2,0,1,4
C95.465.4,NAG,1,1,0,0,0
C95.7,OAG,6,1,1,0,0
C101.771,OAG,35,2,0,0,3
C95.335,CAG,9,1,0,0,2
C101.57,OAG,4,1,0,0,0
C101.671,CAG,21,3,0,0,2
C115.153,OAG,29,1,0,0,3
C95.123,CAG,7,1,0,1,0
C101.910,CAG,22,1,2,0,0
C106.33,CAG,1,1,0,0,0
C101.865,CAG,9,1,0,0,1
C95.171,CAG,5,1,0,0,0
C101.677,NAG,8,2,0,3,1
C101.262,NAG,15,1,1,0,0
C101.129,NAG,17,2,0,0,5
C105.31,NAG,4,1,0,0,0
C106.39,CAG,15,1,0,0,2
C108.127,NAG,11,3,1,0,3
C101.542,NAG,4,1,0,1,0
C101.334,NAG,3,1,0,0,1
C95.321,CAG,11,1,0,0,1
C95.243,NAG,17,2,0,4,5
C95.97,NAG,22,2,0,0,5
C130.126,NAG,17,1,0,0,0
C95.344,CAG,11,1,0,0,0
C101.500,NAG,3,1,0,0,0
C108.89,CAG,6,1,0,0,0
C101.904.5,CAG,5,1,0,0,0
C130.137,CAG,12,1,0,2,0
C12.108,CAG,7,1,1,0,0
C108.18,OAG,10,3,0,3,3
C101.9,NAG,12,1,0,0,0
C130.84,CAG,12,1,0,0,0
C101.876,CAG,12,1,0,0,1
C10.100,NAG,10,2,0,1,1
C10.111.1,CAG,25,1,0,0,0
C115.189.2,NAG,7,2,0,5,0
C115.12,NAG,1,1,0,0,0
C95.419,NAG,8,1,0,0,1
C130.182,NAG,2,2,0,0,2
C10.12.1,OAG,14,1,0,0,0
C115.42,CAG,17,1,0,0,1
C10.135.4,CAG,10,1,0,0,1
C101.447,NAG,7,1,0,0,6
C101.617.3,CAG,10,1,0,0,0
C105.21.1,NAG,1,1,0,0,0
C106.20,NAG,2,1,0,0,0
C101.882,CAG,17,1,0,3,0
C101.389,OAG,14,1,0,0,1
C101.469,NAG,10,1,0,0,0
C10.111.3,CAG,6,1,0,0,0
C105.20,CAG,7,1,0,0,0
C95.322.3,NAG,5,1,0,0,1
C10.117,NAG,9,1,0,0,0
C95.230.1,CAG,8,1,0,0,0
C101.628,OAG,29,2,1,0,3
C101.862,CAG,2,1,0,0,0
C10.12,OAG,3,1,0,2,0
C101.18,CAG,25,4,0,0,3
C101.765,CAG,6,1,0,0,0
C101.258,NAG,22,2,0,0,3
C10.58.5,OAG,6,1,0,0,0
C10.139,NAG,8,1,0,0,0
C12.89,CAG,4,1,0,0,1
