,ID,Gender,words,sents,numbers,unknowns,punctuation
126,C101.875,NGEN,3,1,0,0,0
127,C101.540,NGEN,3,1,0,0,1
128,C95.338,NGEN,10,1,0,0,1
129,C101.458,NGEN,9,2,0,0,2
130,C101.325,NGEN,7,1,0,5,0
131,C12.133.3,NGEN,23,4,0,0,4
132,C10.158.2,NGEN,3,1,0,0,0
133,C101.349,NGEN,13,1,0,3,0
134,C95.310,NGEN,29,3,0,0,3
135,C12.102.3,NGEN,52,2,1,0,1
136,C100.38,NGEN,3,1,0,0,0
137,C115.109,NGEN,10,1,0,0,0
138,C101.34,NGEN,7,1,0,0,0
139,C95.41,NGEN,5,1,0,0,0
140,C130.1,GEN,99,3,0,3,3
141,C95.347.1,NGEN,14,1,1,0,0
142,C130.47,GEN,9,1,0,0,0
143,C101.412,NGEN,4,1,0,0,0
144,C130.102,NGEN,102,1,0,0,0
145,C95.58,NGEN,44,5,0,0,15
146,C101.931,NGEN,18,1,1,0,1
147,C108.22,GEN,8,1,0,0,0
148,C33.26,NGEN,4,1,0,0,0
149,C130.3,GEN,112,11,4,0,16
150,C101.85,NGEN,9,1,0,0,0
151,C12.105,NGEN,1,1,0,0,0
152,C95.256,NGEN,5,3,0,0,2
153,C101.433,NGEN,3,1,0,0,0
154,C12.101,NGEN,13,1,0,0,0
155,C101.802,NGEN,4,1,0,2,5
156,C101.398,NGEN,43,1,0,0,3
157,C101.691,NGEN,18,1,1,0,0
158,C95.323,NGEN,18,1,0,0,2
159,C101.878,NGEN,6,6,0,0,5
160,C101.861.1,NGEN,3,1,0,0,0
161,C101.351,NGEN,29,2,0,0,3
162,C101.896.4,NGEN,7,1,0,0,0
163,C10.107.1,NGEN,1,1,0,6,0
164,C108.13,NGEN,7,1,0,0,3
165,C10.29,GEN,17,1,0,0,0
166,C12.133,NGEN,21,2,0,0,1
167,C101.904.3,NGEN,12,1,0,0,0
168,C100.2,NGEN,4,1,0,4,0
169,C115.158,NGEN,7,1,0,0,0
170,C12.90,NGEN,27,1,0,0,0
171,C101.960.5,NGEN,48,5,3,0,4
172,C101.697,NGEN,15,1,0,0,1
173,C95.391,NGEN,35,3,0,0,2
174,C130.82,GEN,34,2,1,0,2
175,C33.39,NGEN,10,1,1,0,0
176,C108.58,NGEN,1,1,1,0,0
177,C95.169,NGEN,0,1,2,0,5
178,C12.154,NGEN,19,1,0,0,0
179,C101.388,NGEN,55,1,4,0,1
180,C101.545,NGEN,37,1,1,0,0
181,C33.18,NGEN,7,1,0,0,0
182,C101.817,NGEN,10,1,0,2,2
183,C10.112,NGEN,6,2,0,3,2
184,C101.712,NGEN,7,1,0,0,0
185,C100.10,NGEN,2,1,0,0,0
186,C115.166,NGEN,5,1,0,2,0
187,C101.638,NGEN,11,1,0,0,2
188,C101.709,NGEN,6,1,0,0,1
189,C10.82,NGEN,12,1,0,0,0
190,C101.856,NGEN,32,3,1,0,3
191,C115.181,NGEN,13,1,0,0,0
192,C10.140,NGEN,8,1,0,0,0
193,C101.573,NGEN,8,1,0,0,0
194,C101.393,NGEN,8,1,0,0,0
195,C101.617.4,NGEN,7,1,0,0,0
196,C95.70,NGEN,12,1,0,0,0
197,C130.129,NGEN,10,1,0,0,1
198,C12.103.1,NGEN,32,1,0,0,0
199,C95.389,NGEN,9,1,0,0,0
200,C101.37,NGEN,13,2,0,0,2
201,C95.78,NGEN,26,1,0,0,3
202,C101.327,NGEN,4,1,0,0,0
203,C101.180,NGEN,4,1,0,0,1
204,C10.51.1,NGEN,8,1,1,8,0
205,C105.32.1,NGEN,18,1,0,0,3
206,C95.190,NGEN,35,3,3,1,2
207,C108.50.1,GEN,32,1,0,0,1
208,C101.282,NGEN,7,1,0,0,0
209,C101.187,NGEN,45,4,0,0,4
210,C101.653,NGEN,21,2,0,0,2
211,C101.48,NGEN,9,1,0,3,2
212,C101.246,NGEN,14,1,0,0,1
213,C12.100,NGEN,5,1,0,0,0
214,C105.28,NGEN,28,2,0,0,5
215,C33.35.1,NGEN,37,10,2,0,9
216,C108.96.1,NGEN,4,1,0,1,0
217,C115.142.1,NGEN,1,1,0,0,0
218,C101.408,NGEN,86,1,0,0,0
219,C95.451.1,NGEN,16,2,0,1,3
220,C101.566,NGEN,7,1,0,0,2
221,C12.84,NGEN,12,1,0,0,0
222,C33.5,NGEN,11,1,0,0,0
223,C101.848,NGEN,13,1,0,0,4
224,C101.531,NGEN,42,3,1,0,4
225,C115.22,NGEN,10,1,0,0,1
226,C101.316,NGEN,57,8,1,0,11
227,C106.28,NGEN,15,1,0,0,0
228,C101.487,NGEN,13,1,0,0,1
229,C101.575.1,NGEN,0,1,1,0,0
230,C10.118,NGEN,16,1,0,0,0
231,C12.7,NGEN,17,1,0,0,0
232,C95.434.5,NGEN,67,6,0,0,10
233,C95.468,NGEN,3,1,0,0,1
234,C95.415.1,NGEN,2,1,1,0,0
235,C10.179,NGEN,39,3,0,0,3
236,C115.190.1,NGEN,19,1,0,0,5
237,C115.214,NGEN,16,4,0,0,5
238,C101.895.2,NGEN,37,2,0,0,2
239,C95.442,NGEN,4,2,0,0,2
240,C108.120.1,NGEN,11,1,1,0,0
241,C115.86.1,NGEN,1,1,0,0,0
242,C10.28.4,NGEN,80,1,1,21,0
243,C95.401.3,NGEN,2,1,1,0,0
244,C101.892,NGEN,13,1,0,0,0
245,C115.60,NGEN,10,1,0,0,0
246,C101.703,NGEN,7,1,0,0,0
247,C106.16,GEN,32,1,0,0,0
248,C101.601,NGEN,12,1,0,0,2
249,C108.120,GEN,37,1,0,3,0
250,C95.460.1,NGEN,4,1,0,0,0
251,C105.24,NGEN,27,2,0,0,2
252,C101.338.1,NGEN,0,1,0,4,0
253,C101.847,NGEN,2,1,0,0,0
254,C95.324,NGEN,2,1,0,4,0
255,C95.435,NGEN,11,2,0,0,1
256,C10.135,NGEN,33,2,0,4,2
257,C101.714,NGEN,4,1,1,0,0
258,C101.312,NGEN,13,2,0,0,3
259,C12.141.2,NGEN,4,1,0,0,0
260,C101.755.1,NGEN,14,1,0,0,0
261,C95.342,NGEN,21,8,0,0,8
262,C130.146,GEN,22,1,2,0,1
263,C101.232,NGEN,26,1,1,0,0
264,C95.296,NGEN,4,1,0,0,1
265,C95.122,NGEN,11,1,0,0,0
266,C101.953,NGEN,24,1,0,0,0
267,C101.578,NGEN,50,1,0,0,1
268,C101.797,NGEN,43,6,0,0,7
269,C101.295,NGEN,7,1,0,0,0
270,C100.28,NGEN,33,1,0,0,0
271,C106.38.1,NGEN,1,1,0,5,0
272,C101.789.1,NGEN,3,1,1,0,0
273,C101.336,NGEN,3,1,0,0,0
274,C105.32.5,NGEN,25,1,0,1,4
275,C100.42.1,NGEN,9,1,0,0,0
276,C33.50.1,NGEN,4,1,0,0,0
277,C101.844.1,NGEN,2,1,0,0,0
278,C101.606,NGEN,21,1,0,0,6
279,C95.95,NGEN,13,1,0,0,2
280,C95.128,NGEN,24,1,1,0,0
281,C115.70,NGEN,21,1,0,0,0
282,C10.114,NGEN,14,1,0,0,0
283,C101.934,NGEN,12,1,0,0,1
284,C108.86,GEN,17,1,0,0,1
285,C95.80,NGEN,11,1,0,0,0
286,C12.8,NGEN,8,3,0,0,2
287,C130.63,NGEN,14,1,0,0,0
288,C95.297,NGEN,11,1,0,0,0
289,C101.728,NGEN,6,1,0,0,0
290,C95.409.1,NGEN,51,1,0,0,0
291,C101.669,NGEN,3,1,0,0,0
292,C101.69,NGEN,15,1,0,0,0
293,C95.214,NGEN,72,4,0,0,3
294,C101.678.1,NGEN,1,1,0,0,0
295,C101.436,NGEN,3,1,0,0,0
296,C101.285,NGEN,4,1,0,0,0
297,C106.6,NGEN,4,2,0,0,2
298,C108.83,GEN,13,1,0,0,0
299,C115.124.1,NGEN,33,2,0,0,2
300,C101.5,NGEN,19,1,0,0,0
301,C101.444.1,NGEN,6,1,1,0,1
302,C105.8,NGEN,3,1,0,0,0
303,C101.77,NGEN,33,2,0,3,1
304,C95.218,NGEN,195,13,0,0,25
305,C95.140,NGEN,8,1,0,0,0
306,C10.145,NGEN,19,1,0,0,0
307,C130.83,GEN,12,1,0,0,1
308,C101.776,NGEN,5,1,0,0,0
309,C101.26,NGEN,18,2,0,0,1
310,C101.956,NGEN,2,1,1,0,0
311,C101.320,NGEN,3,1,0,0,0
312,C108.125,NGEN,3,1,0,0,0
313,C101.99,NGEN,7,2,0,0,2
314,C101.930,NGEN,5,1,0,0,0
315,C95.202,NGEN,17,3,0,0,5
316,C95.120,NGEN,10,1,0,0,0
317,C95.118.1,NGEN,20,1,0,0,2
318,C95.431.1,NGEN,1,1,0,0,0
319,C95.413.1,NGEN,5,1,0,3,0
320,C95.334.2,NGEN,2,1,0,4,0
321,C101.664.1,NGEN,2,1,0,0,0
322,C101.491,NGEN,8,1,1,0,0
323,C95.242.1,NGEN,4,1,0,0,0
324,C12.121.2,NGEN,8,1,1,0,1
325,C101.787,NGEN,28,9,0,0,8
326,C101.711,NGEN,2,1,0,52,0
327,C130.184,GEN,10,1,0,0,0
328,C10.28.5,GEN,18,1,0,0,0
329,C130.14,GEN,14,2,0,0,4
330,C10.24.1,NGEN,9,1,0,0,0
331,C130.178,NGEN,3,1,0,0,0
332,C101.597,NGEN,7,1,0,0,0
333,C95.252,NGEN,21,4,0,1,3
334,C115.222,NGEN,6,1,0,0,0
335,C108.119,GEN,4,1,0,0,0
336,C95.315,NGEN,6,1,0,0,0
337,C95.347.2,NGEN,141,26,6,3,41
338,C10.89,NGEN,11,1,0,0,0
339,C100.18,GEN,42,1,0,0,8
340,C101.781,NGEN,24,5,0,0,6
341,C101.913.3,NGEN,3,1,0,0,0
342,C10.110.1,NGEN,3,1,0,0,0
343,C101.333,NGEN,21,1,0,0,0
344,C115.178.2,NGEN,37,2,1,0,0
345,C108.62,NGEN,4,1,0,0,0
346,C101.896,NGEN,32,4,0,0,3
347,C95.394.5,NGEN,9,1,0,3,0
348,C10.27,NGEN,13,2,0,0,1
349,C101.364,NGEN,2,1,0,0,0
350,C101.826,NGEN,8,1,0,0,1
351,C101.157,NGEN,26,3,0,0,3
352,C95.174,NGEN,47,1,0,3,0
353,C10.144,NGEN,2,1,0,0,0
354,C105.22,NGEN,9,1,0,0,0
355,C108.85.2,GEN,28,1,0,0,0
356,C10.1.1,NGEN,23,1,0,0,0
357,C10.132.1,NGEN,9,1,0,0,0
358,C10.150,NGEN,27,1,0,0,0
359,C101.450,NGEN,9,1,0,0,0
360,C10.116.1,NGEN,44,1,0,0,0
361,C101.428,NGEN,35,9,0,0,9
362,C130.108,NGEN,34,1,0,0,1
363,C108.49,NGEN,6,1,0,0,0
364,C95.269,NGEN,9,1,0,0,0
365,C95.386,NGEN,7,1,0,0,0
366,C101.86,NGEN,11,1,0,0,2
367,C130.12,NGEN,10,1,0,0,0
368,C115.122,NGEN,19,1,0,0,0
369,C101.498,NGEN,18,1,0,0,0
370,C101.507,NGEN,11,1,0,0,0
371,C100.40,GEN,15,1,0,0,0
372,C101.860,NGEN,23,2,0,0,2
373,C105.39,NGEN,2,1,0,0,0
374,C101.287,NGEN,22,3,0,0,2
375,C130.40,NGEN,23,1,1,0,0
376,C101.913,NGEN,13,1,0,0,1
377,C101.717.1,NGEN,3,1,1,0,0
378,C95.359.3,NGEN,4,2,0,0,2
379,C10.161,NGEN,14,1,0,11,1
380,C95.399.1,NGEN,12,1,1,0,0
381,C115.202,NGEN,10,1,0,0,0
382,C101.824.3,NGEN,1,1,0,0,0
383,C115.213.1,NGEN,2,1,0,0,1
384,C95.61,NGEN,27,3,0,0,3
385,C101.858,NGEN,12,1,0,0,0
386,C95.6,NGEN,32,1,0,0,2
387,C101.459,NGEN,13,1,0,0,0
388,C101.104,NGEN,7,1,0,0,0
389,C130.11,NGEN,2,1,0,0,0
390,C108.14,NGEN,9,1,0,0,0
391,C101.779,NGEN,10,1,0,0,0
392,C101.502,NGEN,3,1,0,0,0
393,C101.256,NGEN,8,1,0,0,0
394,C130.15,GEN,35,2,0,0,1
395,C101.760,NGEN,11,1,0,0,0
396,C115.171,NGEN,2,1,0,4,0
397,C101.867,NGEN,14,2,0,0,3
398,C101.504,NGEN,10,1,0,0,0
399,C101.888,NGEN,1,1,0,4,0
400,C101.735,NGEN,11,1,0,1,0
401,C95.226,NGEN,19,1,0,0,0
402,C10.119,NGEN,13,1,0,0,1
403,C12.58,NGEN,22,1,0,0,0
404,C115.96.1,NGEN,5,1,0,0,0
405,C101.121,NGEN,5,1,0,0,1
406,C101.120,NGEN,45,1,0,0,0
407,C101.249,NGEN,5,1,0,7,0
408,C105.32.3,GEN,17,2,0,0,5
409,C130.165,NGEN,45,2,3,0,6
410,C108.40,NGEN,9,1,0,0,0
411,C101.477,NGEN,4,1,0,0,0
412,C12.95,NGEN,10,1,0,0,1
413,C115.221,NGEN,6,1,0,0,1
414,C101.303,NGEN,26,1,0,3,0
415,C101.25,NGEN,13,1,0,0,0
416,C95.398.4,NGEN,5,2,0,0,1
417,C101.374,NGEN,4,1,0,8,0
418,C101.933,NGEN,14,2,0,0,3
419,C95.54,NGEN,12,1,0,0,1
420,C10.119.3,NGEN,7,1,0,0,0
421,C101.899.1,NGEN,2,1,0,0,0
422,C130.158,NGEN,5,2,0,1,2
423,C101.310,NGEN,7,1,0,0,0
424,C101.32,NGEN,3,1,0,0,0
425,C33.21,NGEN,70,1,2,0,1
426,C101.544,NGEN,31,1,0,0,1
427,C10.177,NGEN,7,2,0,0,2
428,C10.70,NGEN,9,1,0,2,0
429,C10.63,NGEN,10,1,0,0,0
430,C101.627,NGEN,8,1,0,0,0
431,C95.465,NGEN,6,1,0,0,0
432,C10.180,NGEN,3,2,0,0,2
433,C130.149,GEN,6,1,0,0,0
434,C101.951,NGEN,3,1,0,0,0
435,C101.363,NGEN,9,1,0,0,0
436,C10.116.3,NGEN,15,1,0,0,1
437,C12.75,NGEN,6,1,0,0,0
438,C10.133.2,NGEN,5,1,0,0,0
439,C12.137,NGEN,36,1,0,0,0
440,C130.89,NGEN,2,1,0,0,0
441,C10.91,NGEN,4,1,0,0,0
442,C95.196,NGEN,26,2,0,0,1
443,C95.397.1,NGEN,50,2,0,0,2
444,C10.186,NGEN,13,1,0,0,0
445,C115.52,NGEN,13,1,1,27,0
446,C12.112,NGEN,14,1,0,0,1
447,C95.83,NGEN,26,1,0,0,3
448,C10.175.1,NGEN,58,2,0,0,3
449,C95.206,NGEN,11,2,0,0,1
450,C101.689,NGEN,5,1,0,3,0
451,C130.127,NGEN,8,1,0,0,0
452,C101.404,NGEN,13,1,1,0,0
453,C101.941,NGEN,20,1,1,0,1
454,C95.146,NGEN,4,1,0,0,0
455,C101.655,NGEN,4,2,0,0,1
456,C115.146,NGEN,16,1,1,0,4
457,C95.416.1,NGEN,12,1,0,0,1
458,C95.439,NGEN,10,1,0,0,0
459,C95.322.2,NGEN,14,2,0,0,1
460,C130.181,GEN,22,1,1,0,0
461,C115.43,NGEN,36,3,0,0,4
462,C101.932,NGEN,6,1,0,3,0
463,C101.853,NGEN,3,1,0,0,0
464,C95.383.1,NGEN,1,1,0,0,1
465,C101.955,NGEN,23,3,0,0,2
466,C130.179.1,NGEN,35,3,0,0,3
467,C100.32,NGEN,48,4,1,0,4
468,C130.175.1,NGEN,2,1,0,0,0
469,C115.96.2,NGEN,11,1,0,0,0
470,C115.184.1,NGEN,26,1,0,0,0
471,C108.51,NGEN,10,1,0,0,0
472,C12.43,NGEN,8,1,0,0,0
473,C10.51,NGEN,17,1,0,0,1
474,C101.280,NGEN,20,1,0,3,0
475,C105.18,NGEN,5,1,0,0,1
476,C115.187,NGEN,8,1,0,0,0
477,C12.111,NGEN,57,3,0,0,5
478,C95.280.4,NGEN,7,1,0,0,2
479,C101.824.2,NGEN,3,1,0,0,0
480,C12.144,NGEN,22,1,0,0,0
481,C95.47,NGEN,5,1,0,0,1
482,C101.594,NGEN,16,1,0,0,0
483,C101.377,NGEN,17,1,0,0,1
484,C101.431,NGEN,15,1,1,0,0
485,C95.351,NGEN,16,1,0,0,0
486,C105.25.2,NGEN,5,1,0,0,0
487,C130.67,NGEN,12,1,0,0,0
488,C101.940.5,NGEN,12,1,0,0,1
489,C105.19.3,NGEN,15,2,0,4,2
490,C101.541,NGEN,8,1,0,0,0
491,C101.406,NGEN,16,1,0,0,1
492,C95.305.1,NGEN,11,1,0,0,0
493,C115.214.2,NGEN,32,1,0,0,2
494,C101.904,NGEN,11,1,0,1,0
495,C115.114,NGEN,52,13,0,0,14
496,C95.441,NGEN,4,2,0,1,1
497,C115.201,NGEN,25,1,2,0,6
498,C95.275,NGEN,5,1,0,0,0
499,C101.424,NGEN,20,1,0,0,0
500,C105.19,NGEN,5,1,0,0,0
501,C101.212,NGEN,3,1,0,0,0
502,C10.156.1,NGEN,20,1,0,0,6
503,C10.173.2,NGEN,9,1,0,0,0
504,C101.945,NGEN,9,1,0,0,0
505,C101.478,NGEN,9,1,0,0,0
506,C95.217,NGEN,26,1,0,0,0
507,C95.394.4,NGEN,13,1,0,0,0
508,C101.220,NGEN,6,1,0,0,1
509,C10.174,NGEN,2,1,0,0,0
510,C101.662,NGEN,13,1,0,0,0
511,C95.84,NGEN,14,1,0,0,1
512,C95.262,NGEN,9,2,0,0,2
513,C115.1,NGEN,17,1,0,0,1
514,C115.75,NGEN,12,2,0,0,2
515,C101.81,NGEN,9,1,0,0,0
516,C101.260,NGEN,24,1,0,0,0
517,C95.350,NGEN,4,1,0,0,1
518,C115.204,NGEN,17,2,0,0,1
519,C130.71,NGEN,3,1,0,0,0
520,C101.20,NGEN,6,1,0,0,0
521,C101.181,NGEN,40,3,0,0,6
522,C101.448,NGEN,5,1,0,0,0
523,C95.12,NGEN,38,5,0,0,6
524,C101.526,NGEN,37,1,0,0,6
525,C95.18,NGEN,154,10,0,0,34
526,C101.586,NGEN,34,2,0,0,2
527,C95.451.2,NGEN,30,4,0,0,7
528,C12.116,NGEN,6,1,0,0,0
529,C101.726,NGEN,19,2,0,0,2
530,C101.773,NGEN,46,1,0,0,2
531,C115.190,NGEN,61,1,0,0,8
532,C108.42.1,NGEN,19,1,0,0,0
533,C101.913.2,NGEN,1,1,0,0,0
534,C108.39,NGEN,11,1,1,0,0
535,C10.123,NGEN,3,1,0,0,1
536,C12.26,NGEN,21,1,0,0,0
537,C130.192.1,NGEN,19,1,0,0,0
538,C95.438,NGEN,8,1,0,0,0
539,C10.5.1,NGEN,10,1,0,0,0
540,C115.67,NGEN,9,1,0,0,0
541,C115.208.1,NGEN,4,1,0,0,1
542,C101.35,NGEN,11,3,0,0,2
543,C12.86,NGEN,24,1,1,0,0
544,C101.509,NGEN,34,2,1,0,9
545,C95.331,NGEN,23,2,0,8,1
546,C115.24,NGEN,12,1,0,0,0
547,C101.369,NGEN,8,1,0,0,0
548,C115.157,NGEN,11,1,1,0,4
549,C95.241,NGEN,21,2,1,0,2
550,C115.184,NGEN,7,1,0,0,0
551,C10.24.2,NGEN,7,1,0,0,0
552,C95.370,NGEN,2,1,0,0,0
553,C101.743.1,NGEN,3,1,1,0,0
554,C95.354,NGEN,30,1,0,0,6
555,C101.784.2,NGEN,3,1,1,0,0
556,C95.238,NGEN,31,2,0,3,6
557,C95.91,NGEN,18,1,0,0,0
558,C101.290,NGEN,13,1,0,4,0
559,C101.897,NGEN,10,1,0,0,0
560,C101.851,NGEN,3,1,0,0,0
561,C130.107.1,NGEN,5,1,0,0,0
562,C101.74,NGEN,7,1,0,0,0
563,C130.42,GEN,19,1,0,0,0
564,C101.803,NGEN,41,4,0,0,9
565,C100.33.1,NGEN,5,1,0,0,0
566,C106.3,GEN,62,2,0,0,6
567,C10.44,GEN,5,1,0,0,0
568,C105.4,NGEN,38,5,0,0,7
569,C101.706,NGEN,13,1,0,0,2
570,C95.462,NGEN,26,3,0,0,4
571,C130.173,NGEN,30,5,0,0,5
572,C95.434.4,NGEN,124,2,0,0,3
573,C95.92.1,NGEN,8,1,0,0,0
574,C12.70,GEN,39,1,0,0,0
575,C10.130.4,NGEN,44,16,1,1,16
576,C100.25,NGEN,1,1,0,0,0
577,C101.14,NGEN,7,1,0,0,0
578,C115.34,NGEN,14,1,0,0,0
579,C95.431.2,NGEN,3,1,0,0,0
580,C101.607,NGEN,20,1,0,0,0
581,C100.43,NGEN,1,1,0,2,0
582,C95.116,NGEN,12,1,0,0,0
583,C12.154.4,NGEN,4,1,0,1,0
584,C101.222,NGEN,7,1,0,0,2
585,C101.335,NGEN,3,1,0,0,0
586,C100.20,NGEN,12,2,0,0,1
587,C95.33,NGEN,41,2,2,0,8
588,C101.533,NGEN,18,1,0,0,2
589,C101.750,NGEN,12,1,0,0,1
590,C10.64.1,NGEN,3,1,0,0,0
591,C101.825.1,NGEN,1,1,0,0,0
592,C101.193,NGEN,8,1,0,0,0
593,C12.62,NGEN,2,1,0,0,0
594,C115.137,NGEN,27,7,0,0,6
595,C130.157,NGEN,13,4,0,3,9
596,C115.84,NGEN,104,2,0,0,19
597,C101.110,NGEN,19,1,3,0,0
598,C95.71,NGEN,14,1,0,2,1
599,C101.757,NGEN,4,1,0,0,0
600,C115.172,NGEN,13,1,1,0,1
601,C101.423,NGEN,10,1,0,0,1
602,C101.263,NGEN,25,1,0,0,0
603,C12.88,NGEN,6,1,0,0,0
604,C95.361,NGEN,8,2,0,0,1
605,C95.227,NGEN,4,1,0,0,0
606,C130.168,GEN,42,1,0,0,19
607,C95.53,NGEN,10,1,0,0,1
608,C130.150,NGEN,2,1,0,0,0
609,C101.537,NGEN,7,1,0,0,0
610,C101.872,NGEN,44,3,0,0,7
611,C12.19,NGEN,1,1,0,0,0
612,C108.83.1,GEN,14,2,0,0,2
613,C101.420,NGEN,77,4,0,0,6
614,C10.19,NGEN,2,1,0,0,0
615,C101.941.5,NGEN,4,1,0,0,0
616,C33.1.1,NGEN,2,1,0,0,0
617,C105.13,NGEN,6,1,0,0,1
618,C95.229,NGEN,8,1,0,0,0
619,C101.617.1,NGEN,23,1,0,0,0
620,C101.895.3,NGEN,19,1,0,0,1
621,C101.821,NGEN,24,1,0,0,2
622,C10.5,GEN,44,1,1,9,0
