ID	Gender	words	sents	numbers	unknowns	punctuation
C95.386	NGEN	7	1	0	0	0
C101.86	NGEN	11	1	0	0	2
C130.12	NGEN	10	1	0	0	0
C115.122	NGEN	19	1	0	0	0
C101.498	NGEN	18	1	0	0	0
C101.507	NGEN	11	1	0	0	0
C100.40	GEN	15	1	0	0	0
C101.860	NGEN	23	2	0	0	2
C105.39	NGEN	2	1	0	0	0
C101.287	NGEN	22	3	0	0	2
C130.40	NGEN	23	1	1	0	0
C101.913	NGEN	13	1	0	0	1
C101.717.1	NGEN	3	1	1	0	0
C95.359.3	NGEN	4	2	0	0	2
C10.161	NGEN	14	1	0	11	1
C95.399.1	NGEN	12	1	1	0	0
C115.202	NGEN	10	1	0	0	0
C101.824.3	NGEN	1	1	0	0	0
C115.213.1	NGEN	2	1	0	0	1
C95.61	NGEN	27	3	0	0	3
C101.858	NGEN	12	1	0	0	0
C95.6	NGEN	32	1	0	0	2
C101.459	NGEN	13	1	0	0	0
C101.104	NGEN	7	1	0	0	0
C130.11	NGEN	2	1	0	0	0
C108.14	NGEN	9	1	0	0	0
C101.779	NGEN	10	1	0	0	0
C101.502	NGEN	3	1	0	0	0
C101.256	NGEN	8	1	0	0	0
C130.15	GEN	35	2	0	0	1
C101.760	NGEN	11	1	0	0	0
C115.171	NGEN	2	1	0	4	0
C101.867	NGEN	14	2	0	0	3
C101.504	NGEN	10	1	0	0	0
C101.888	NGEN	1	1	0	4	0
C101.735	NGEN	11	1	0	1	0
C95.226	NGEN	19	1	0	0	0
C10.119	NGEN	13	1	0	0	1
C12.58	NGEN	22	1	0	0	0
C115.96.1	NGEN	5	1	0	0	0
C101.121	NGEN	5	1	0	0	1
C101.120	NGEN	45	1	0	0	0
C101.249	NGEN	5	1	0	7	0
C105.32.3	GEN	17	2	0	0	5
C130.165	NGEN	45	2	3	0	6
C108.40	NGEN	9	1	0	0	0
C101.477	NGEN	4	1	0	0	0
C12.95	NGEN	10	1	0	0	1
C115.221	NGEN	6	1	0	0	1
C101.303	NGEN	26	1	0	3	0
C101.25	NGEN	13	1	0	0	0
C95.398.4	NGEN	5	2	0	0	1
C101.374	NGEN	4	1	0	8	0
C101.933	NGEN	14	2	0	0	3
C95.54	NGEN	12	1	0	0	1
C10.119.3	NGEN	7	1	0	0	0
C101.899.1	NGEN	2	1	0	0	0
C130.158	NGEN	5	2	0	1	2
C101.310	NGEN	7	1	0	0	0
C101.32	NGEN	3	1	0	0	0
C33.21	NGEN	70	1	2	0	1
C101.544	NGEN	31	1	0	0	1
C10.177	NGEN	7	2	0	0	2
C10.70	NGEN	9	1	0	2	0
C10.63	NGEN	10	1	0	0	0
C101.627	NGEN	8	1	0	0	0
C95.465	NGEN	6	1	0	0	0
C10.180	NGEN	3	2	0	0	2
C130.149	GEN	6	1	0	0	0
C101.951	NGEN	3	1	0	0	0
C101.363	NGEN	9	1	0	0	0
C10.116.3	NGEN	15	1	0	0	1
C12.75	NGEN	6	1	0	0	0
C10.133.2	NGEN	5	1	0	0	0
C12.137	NGEN	36	1	0	0	0
C130.89	NGEN	2	1	0	0	0
C10.91	NGEN	4	1	0	0	0
C95.196	NGEN	26	2	0	0	1
C95.397.1	NGEN	50	2	0	0	2
C10.186	NGEN	13	1	0	0	0
C115.52	NGEN	13	1	1	27	0
C12.112	NGEN	14	1	0	0	1
C95.83	NGEN	26	1	0	0	3
C10.175.1	NGEN	58	2	0	0	3
C95.206	NGEN	11	2	0	0	1
C101.689	NGEN	5	1	0	3	0
C130.127	NGEN	8	1	0	0	0
C101.404	NGEN	13	1	1	0	0
C101.941	NGEN	20	1	1	0	1
C95.146	NGEN	4	1	0	0	0
C101.655	NGEN	4	2	0	0	1
C115.146	NGEN	16	1	1	0	4
C95.416.1	NGEN	12	1	0	0	1
C95.439	NGEN	10	1	0	0	0
C95.322.2	NGEN	14	2	0	0	1
C130.181	GEN	22	1	1	0	0
C115.43	NGEN	36	3	0	0	4
C101.932	NGEN	6	1	0	3	0
C101.853	NGEN	3	1	0	0	0
C95.383.1	NGEN	1	1	0	0	1
C101.955	NGEN	23	3	0	0	2
C130.179.1	NGEN	35	3	0	0	3
C100.32	NGEN	48	4	1	0	4
C130.175.1	NGEN	2	1	0	0	0
C115.96.2	NGEN	11	1	0	0	0
C115.184.1	NGEN	26	1	0	0	0
C108.51	NGEN	10	1	0	0	0
C12.43	NGEN	8	1	0	0	0
C10.51	NGEN	17	1	0	0	1
C101.280	NGEN	20	1	0	3	0
C105.18	NGEN	5	1	0	0	1
C115.187	NGEN	8	1	0	0	0
C12.111	NGEN	57	3	0	0	5
C95.280.4	NGEN	7	1	0	0	2
C101.824.2	NGEN	3	1	0	0	0
C12.144	NGEN	22	1	0	0	0
C95.47	NGEN	5	1	0	0	1
C101.594	NGEN	16	1	0	0	0
C101.377	NGEN	17	1	0	0	1
C101.431	NGEN	15	1	1	0	0
C95.351	NGEN	16	1	0	0	0
C105.25.2	NGEN	5	1	0	0	0
C130.67	NGEN	12	1	0	0	0
C101.940.5	NGEN	12	1	0	0	1
C105.19.3	NGEN	15	2	0	4	2
C101.541	NGEN	8	1	0	0	0
C101.406	NGEN	16	1	0	0	1
C95.305.1	NGEN	11	1	0	0	0
C115.214.2	NGEN	32	1	0	0	2
C101.904	NGEN	11	1	0	1	0
C115.114	NGEN	52	13	0	0	14
C95.441	NGEN	4	2	0	1	1
C115.201	NGEN	25	1	2	0	6
C95.275	NGEN	5	1	0	0	0
C101.424	NGEN	20	1	0	0	0
C105.19	NGEN	5	1	0	0	0
C101.212	NGEN	3	1	0	0	0
C10.156.1	NGEN	20	1	0	0	6
C10.173.2	NGEN	9	1	0	0	0
C101.945	NGEN	9	1	0	0	0
C101.478	NGEN	9	1	0	0	0
C95.217	NGEN	26	1	0	0	0
C95.394.4	NGEN	13	1	0	0	0
C101.220	NGEN	6	1	0	0	1
C10.174	NGEN	2	1	0	0	0
C101.662	NGEN	13	1	0	0	0
C95.84	NGEN	14	1	0	0	1
C95.262	NGEN	9	2	0	0	2
C115.1	NGEN	17	1	0	0	1
C115.75	NGEN	12	2	0	0	2
C101.81	NGEN	9	1	0	0	0
C101.260	NGEN	24	1	0	0	0
C95.350	NGEN	4	1	0	0	1
C115.204	NGEN	17	2	0	0	1
C130.71	NGEN	3	1	0	0	0
C101.20	NGEN	6	1	0	0	0
C101.181	NGEN	40	3	0	0	6
C101.448	NGEN	5	1	0	0	0
C95.12	NGEN	38	5	0	0	6
C101.526	NGEN	37	1	0	0	6
C95.18	NGEN	154	10	0	0	34
C101.586	NGEN	34	2	0	0	2
C95.451.2	NGEN	30	4	0	0	7
C12.116	NGEN	6	1	0	0	0
C101.726	NGEN	19	2	0	0	2
C101.773	NGEN	46	1	0	0	2
C115.190	NGEN	61	1	0	0	8
C108.42.1	NGEN	19	1	0	0	0
C101.913.2	NGEN	1	1	0	0	0
C108.39	NGEN	11	1	1	0	0
C10.123	NGEN	3	1	0	0	1
C12.26	NGEN	21	1	0	0	0
C130.192.1	NGEN	19	1	0	0	0
C95.438	NGEN	8	1	0	0	0
C10.5.1	NGEN	10	1	0	0	0
C115.67	NGEN	9	1	0	0	0
C115.208.1	NGEN	4	1	0	0	1
C101.35	NGEN	11	3	0	0	2
C12.86	NGEN	24	1	1	0	0
C101.509	NGEN	34	2	1	0	9
C95.331	NGEN	23	2	0	8	1
C115.24	NGEN	12	1	0	0	0
C101.369	NGEN	8	1	0	0	0
C115.157	NGEN	11	1	1	0	4
C95.241	NGEN	21	2	1	0	2
C115.184	NGEN	7	1	0	0	0
C10.24.2	NGEN	7	1	0	0	0
C95.370	NGEN	2	1	0	0	0
C101.743.1	NGEN	3	1	1	0	0
C95.354	NGEN	30	1	0	0	6
C101.784.2	NGEN	3	1	1	0	0
C95.238	NGEN	31	2	0	3	6
C95.91	NGEN	18	1	0	0	0
C101.290	NGEN	13	1	0	4	0
C101.897	NGEN	10	1	0	0	0
C101.851	NGEN	3	1	0	0	0
C130.107.1	NGEN	5	1	0	0	0
C101.74	NGEN	7	1	0	0	0
C130.42	GEN	19	1	0	0	0
C101.803	NGEN	41	4	0	0	9
C100.33.1	NGEN	5	1	0	0	0
C106.3	GEN	62	2	0	0	6
C10.44	GEN	5	1	0	0	0
C105.4	NGEN	38	5	0	0	7
C101.706	NGEN	13	1	0	0	2
C95.462	NGEN	26	3	0	0	4
C130.173	NGEN	30	5	0	0	5
C95.434.4	NGEN	124	2	0	0	3
C95.92.1	NGEN	8	1	0	0	0
C12.70	GEN	39	1	0	0	0
C10.130.4	NGEN	44	16	1	1	16
C100.25	NGEN	1	1	0	0	0
C101.14	NGEN	7	1	0	0	0
C115.34	NGEN	14	1	0	0	0
C95.431.2	NGEN	3	1	0	0	0
C101.607	NGEN	20	1	0	0	0
C100.43	NGEN	1	1	0	2	0
C95.116	NGEN	12	1	0	0	0
C12.154.4	NGEN	4	1	0	1	0
C101.222	NGEN	7	1	0	0	2
C101.335	NGEN	3	1	0	0	0
C100.20	NGEN	12	2	0	0	1
C95.33	NGEN	41	2	2	0	8
C101.533	NGEN	18	1	0	0	2
C101.750	NGEN	12	1	0	0	1
C10.64.1	NGEN	3	1	0	0	0
C101.825.1	NGEN	1	1	0	0	0
C101.193	NGEN	8	1	0	0	0
C12.62	NGEN	2	1	0	0	0
C115.137	NGEN	27	7	0	0	6
C130.157	NGEN	13	4	0	3	9
C115.84	NGEN	104	2	0	0	19
C101.110	NGEN	19	1	3	0	0
C95.71	NGEN	14	1	0	2	1
C101.757	NGEN	4	1	0	0	0
C115.172	NGEN	13	1	1	0	1
C101.423	NGEN	10	1	0	0	1
C101.263	NGEN	25	1	0	0	0
C12.88	NGEN	6	1	0	0	0
C95.361	NGEN	8	2	0	0	1
C95.227	NGEN	4	1	0	0	0
C130.168	GEN	42	1	0	0	19
C95.53	NGEN	10	1	0	0	1
C130.150	NGEN	2	1	0	0	0
C101.537	NGEN	7	1	0	0	0
C101.872	NGEN	44	3	0	0	7
C12.19	NGEN	1	1	0	0	0
C108.83.1	GEN	14	2	0	0	2
C101.420	NGEN	77	4	0	0	6
C10.19	NGEN	2	1	0	0	0
C101.941.5	NGEN	4	1	0	0	0
C33.1.1	NGEN	2	1	0	0	0
C105.13	NGEN	6	1	0	0	1
C95.229	NGEN	8	1	0	0	0
C101.617.1	NGEN	23	1	0	0	0
C101.895.3	NGEN	19	1	0	0	1
C101.821	NGEN	24	1	0	0	2
C10.5	GEN	44	1	1	9	0
C95.8	NGEN	26	1	0	0	1
C115.211	NGEN	9	2	0	0	2
C12.141	NGEN	4	1	0	0	0
C101.11	NGEN	16	1	0	0	1
C101.144	NGEN	9	1	0	0	0
C108.69	NGEN	21	1	0	5	0
C101.929	NGEN	31	1	2	0	1
C101.277	NGEN	20	1	0	0	0
C101.534	NGEN	37	2	0	0	1
C95.204	NGEN	22	1	0	0	4
C101.901	NGEN	5	1	0	0	0
C95.434.1	NGEN	22	1	0	0	0
C101.22	NGEN	6	1	0	0	0
C101.891	NGEN	25	3	0	0	2
C101.53	NGEN	2	1	0	0	0
C95.326.1	NGEN	16	1	0	0	1
C95.220.1	NGEN	25	1	0	0	1
C12.98	NGEN	24	1	0	0	0
C101.720	NGEN	21	4	0	0	4
C101.330	NGEN	5	1	0	0	0
C108.121	GEN	5	2	0	1	2
C101.686	NGEN	12	1	0	0	0
C105.7	NGEN	9	1	0	0	0
C101.123	NGEN	0	1	0	13	0
C101.221	NGEN	3	1	0	0	0
C101.719.3	NGEN	1	1	0	0	0
C101.626	NGEN	3	1	0	0	0
C101.89	NGEN	18	1	0	0	0
C101.484	NGEN	7	1	0	0	1
C130.160	NGEN	8	2	0	1	4
C95.465.4	NGEN	1	1	0	0	0
C95.7	NGEN	6	1	1	0	0
C101.771	NGEN	35	2	0	0	3
C95.335	NGEN	9	1	0	0	2
C101.57	NGEN	4	1	0	0	0
C101.671	NGEN	21	3	0	0	2
C115.153	NGEN	29	1	0	0	3
C95.123	NGEN	7	1	0	1	0
C101.910	NGEN	22	1	2	0	0
C106.33	NGEN	1	1	0	0	0
C101.865	NGEN	9	1	0	0	1
C95.171	NGEN	5	1	0	0	0
C101.677	NGEN	8	2	0	3	1
C101.262	NGEN	15	1	1	0	0
C101.129	NGEN	17	2	0	0	5
C105.31	NGEN	4	1	0	0	0
C106.39	NGEN	15	1	0	0	2
C108.127	NGEN	11	3	1	0	3
C101.542	NGEN	4	1	0	1	0
C101.334	NGEN	3	1	0	0	1
C95.321	NGEN	11	1	0	0	1
C95.243	NGEN	17	2	0	4	5
C95.97	NGEN	22	2	0	0	5
C130.126	NGEN	17	1	0	0	0
C95.344	NGEN	11	1	0	0	0
C101.500	NGEN	3	1	0	0	0
C108.89	GEN	6	1	0	0	0
C101.904.5	NGEN	5	1	0	0	0
C130.137	NGEN	12	1	0	2	0
C12.108	NGEN	7	1	1	0	0
C108.18	GEN	10	3	0	3	3
